num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
200,25,1.0,TTC_function,1,71.79668772841588,55.319148936170215,21.718377088305488,1.57114403806127,1,1.0,197,200,200,0.401776900049299
200,25,1.0,TTC_function,2,65.4404697941725,47.55244755244755,11.904761904761903,1.8354730076986487,1,1.0,195,200,200,0.3790033000987023
200,25,1.0,TTC_function,3,63.536754977785655,46.07679465776294,12.523364485981304,2.181223716265952,1,1.0,200,200,200,0.3942574998363852
200,25,1.0,TTC_function,4,58.01070896335899,39.77746870653686,16.666666666666664,3.629359838393989,1,1.0,193,199,200,0.4363287000451237
200,25,1.0,SP_function,0,61.73310149869737,45.40337711069418,11.570247933884296,2.006697329684877,1,1.0,190,200,200,0.2221544000785797
200,25,1.0,SP_function,1,70.34654619832098,54.44234404536862,8.83054892601433,0.8589637195051916,1,1.0,197,200,200,0.1950168998446315
200,25,1.0,SP_function,2,63.91436820363938,43.59400998336106,16.341030195381883,1.5276980861097411,1,1.0,195,200,200,0.2418565999250859
200,25,1.0,SP_function,3,61.79964422915773,50.559701492537314,11.838006230529594,1.6004204928079662,1,1.0,200,200,200,0.2350618001073599
200,25,1.0,SP_function,4,55.89208055437904,39.117199391172,12.06030150753768,2.160474167013696,1,1.0,193,199,200,0.183455100050196
200,25,1.0,TTC_O_function,0,64.10814563525726,50.6108202443281,13.214990138067066,1.4993926496097754,1,1.0,192,200,200,39.842364199925214
200,25,1.0,TTC_O_function,1,72.39489581201981,56.672760511883006,13.711151736745885,0.7654258944640705,1,1.0,197,200,200,43.517964700004086
200,25,1.0,TTC_O_function,2,65.89837244280439,46.952224052718286,11.958762886597938,0.7726032972131653,2,1.0,195,200,200,35.09003960015252
200,25,1.0,TTC_O_function,3,64.04382614594358,51.84563758389261,17.483660130718967,1.2160536513078342,2,1.2,200,200,200,45.406723299995065
200,25,1.0,TTC_O_function,4,58.60841207719079,42.331288343558285,15.754560530679932,2.384797995204012,1,1.0,191,200,200,39.66611659992486
200,25,1.0,SP_O_function,0,64.10647277543991,50.6108202443281,13.214990138067066,1.5160672592408309,1,1.0,192,200,200,70.94342599995434
200,25,1.0,SP_O_function,1,72.39541411582263,56.672760511883006,13.711151736745885,0.7751872827504045,1,1.0,197,200,200,68.16353789996356
200,25,1.0,SP_O_function,2,65.87461649443115,50.0,11.958762886597938,0.7848567356524078,2,1.0,195,200,200,57.79029079992324
200,25,1.0,SP_O_function,3,64.04073816526325,51.84563758389261,17.483660130718967,1.206102509070897,2,1.2,200,200,200,64.55655390000902
200,25,1.0,SP_O_function,4,58.61813967043716,42.331288343558285,15.754560530679932,2.306405681254824,1,1.0,191,200,200,56.62979999999516
200,25,1.0,OC_old,0,65.1057627254282,0.0,82.18884120171673,14.701877963233583,6,1.0,169,182,183,15.973653099965304
200,25,1.0,OC_old,1,73.15160623609047,0.0,81.29175946547885,13.136780529371835,6,1.0,177,187,192,11.672595700016243
200,25,1.0,OC_old,2,67.01201036556222,0.0,84.68468468468468,16.365056938000357,6,1.0,170,178,183,15.398099000100046
200,25,1.0,OC_old,3,64.72028419802614,0.0,87.44769874476988,17.70047401381162,6,1.2,182,187,188,16.021265899995342
200,25,1.0,OC_old,4,59.89356270827008,0.0,83.49514563106796,18.157910838367904,6,1.0,156,170,177,15.55538469995372
300,25,0.0,iterated_maximum_matching_unadjusted,0,39.1406215389593,27.43362831858407,18.457943925233643,5.6147842301133,3,2.6666666666666665,156,240,287,1.7918883999809625
300,25,0.0,iterated_maximum_matching_unadjusted,1,45.01083933585881,36.46408839779006,13.812154696132602,3.7274996182370033,3,2.6666666666666665,224,288,298,1.5218836998101324
300,25,0.0,iterated_maximum_matching_unadjusted,2,39.12003016435158,29.28416485900217,14.685314685314689,4.183439429445577,3,2.6666666666666665,188,269,290,1.7002314999699593
300,25,0.0,iterated_maximum_matching_unadjusted,3,39.238718271746606,30.59360730593607,14.187643020594964,4.662395759345852,3,2.6666666666666665,228,286,300,1.7082090000621974
300,25,0.0,iterated_maximum_matching_unadjusted,4,34.01682921850288,23.228346456692915,18.83116883116883,4.451659196308826,3,2.6666666666666665,155,212,246,1.6883839999791237
300,25,0.0,iterated_maximum_matching_adjusted,0,39.1406215389593,27.43362831858407,18.457943925233643,5.6147842301133,3,2.6666666666666665,156,240,287,1.87553479988128
300,25,0.0,iterated_maximum_matching_adjusted,1,45.01083933585881,36.46408839779006,13.812154696132602,3.7274996182370033,3,2.6666666666666665,224,288,298,1.918995999963954
300,25,0.0,iterated_maximum_matching_adjusted,2,39.12003016435158,29.28416485900217,14.685314685314689,4.183439429445577,3,2.6666666666666665,188,269,290,1.9476185999810696
300,25,0.0,iterated_maximum_matching_adjusted,3,39.238718271746606,30.59360730593607,14.187643020594964,4.662395759345852,3,2.6666666666666665,228,286,300,1.7107799001969397
300,25,0.0,iterated_maximum_matching_adjusted,4,34.01682921850288,23.228346456692915,18.83116883116883,4.451659196308826,3,2.6666666666666665,155,212,246,1.8891936999280008
300,25,0.0,TTC_function,0,38.658511322402646,25.0,18.409090909090907,6.697027971022665,3,2.6666666666666665,180,231,265,0.5577364999335259
300,25,0.0,TTC_function,1,44.47190413970386,33.773087071240106,14.360313315926888,4.7643753367698025,3,2.6666666666666665,238,274,289,0.6161114000715315
300,25,0.0,TTC_function,2,38.68181347488324,27.44186046511628,17.51152073732718,5.727727930592758,3,2.6666666666666665,208,256,277,0.6919060999061912
300,25,0.0,TTC_function,3,38.80327347789029,26.72413793103448,18.24324324324325,6.237782820480688,3,2.6666666666666665,235,272,295,0.5900328999850899
300,25,0.0,TTC_function,4,33.47822221277306,18.726591760299627,16.468253968253965,4.916498260073171,3,2.6666666666666665,179,206,236,0.6040298000443727
300,25,0.0,SP_function,0,37.44016373856162,26.24113475177305,18.91252955082742,5.407978810529941,3,2.6666666666666665,179,224,264,0.397786500165239
300,25,0.0,SP_function,1,43.03762260144415,34.271099744245525,14.987080103359176,4.300122085455148,3,2.6666666666666665,238,271,290,0.3575816999655217
300,25,0.0,SP_function,2,37.31756472305975,29.28571428571429,13.317191283292978,4.363449174396503,3,2.6666666666666665,208,248,272,0.3901629999745637
