num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",TTC_function,4,,82.29488128,67.24511931,9.336609337,1.157620111,0,0.0,100,100,100,0.0573932
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",SP_function,0,,81.82384826,60.52631579,12.75303644,1.494769355,0,0.0,100,100,100,0.0667586
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",SP_function,1,,81.22479336,66.52360515,8.545034642,1.035725577,0,0.0,100,100,100,0.0625352
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",SP_function,2,,81.02327456,67.3245614,11.75059952,1.563195518,0,0.0,100,100,100,0.064669
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",SP_function,3,,81.70699506,65.96638655,9.708737864,1.165845212,0,0.0,100,100,100,0.0579402
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",SP_function,4,,81.91834354,67.06730769,11.29807692,1.558265304,0,0.0,100,100,100,0.0666712
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,94.26779114,83.11965812,0.295857988,0.00295858,0,0.0,100,100,100,0.4004123
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,94.83998504,85.0117096,5.20361991,0.052036199,0,0.0,100,100,100,0.4688642
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,95.22382404,81.63771712,1.240694789,0.012406948,0,0.0,100,100,100,0.4634838
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,94.392857,73.33333333,4.691358025,0.069955055,0,0.0,100,100,100,0.4465747
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,94.48794579,86.12440191,4.359673025,0.115313487,0,0.0,100,100,100,0.4714559
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,94.26779114,83.11965812,0.295857988,0.00295858,0,0.0,100,100,100,0.4616021
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,94.83998504,85.0117096,5.20361991,0.052036199,0,0.0,100,100,100,0.4523774
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,95.22382404,81.63771712,1.240694789,0.012406948,0,0.0,100,100,100,0.5491066
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,94.392857,73.33333333,4.691358025,0.069955055,0,0.0,100,100,100,0.4627235
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,94.48794579,86.12440191,4.359673025,0.115313487,0,0.0,100,100,100,0.4683222
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",TTC_function,0,,94.38369679,82.51121076,12.33183857,0.138024268,0,0.0,100,100,100,0.0516619
100,25,5,1.1,9,2.6,"(50, 100)","(0, 50)",TTC_function,1,,94.62988283,83.08823529,2.374670185,0.026427667,0,0.0,100,100,100,0.0613239
