num_of_agents,num_of_items,algorithm,sum_item_values,sum_agent_values,min_item,max_item,min_agent,max_agent,runtime
100,25,fairpyx.algorithms.Optimization_Matching.FaSt,325,78908,"(24, 32)","(1, 59565)",1,1000,0.01162190013565123
200,25,fairpyx.algorithms.Optimization_Matching.FaSt,325,175026,"(24, 32)","(1, 155695)",1,1000,0.04419129993766546
300,25,fairpyx.algorithms.Optimization_Matching.FaSt,325,271191,"(25, 116)","(1, 251957)",1,1000,0.04873709985986352
