max_total_agent_capacity,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1000,utilitarian_matching,0,96.31655683834813,72.51612903225806,84.92822966507175,5.876608890788257,0,0.0,192,195,195,0.27983859996311367
1000,utilitarian_matching,1,96.82494867673012,83.49282296650718,84.92822966507175,6.865163298524536,0,0.0,198,198,198,0.25614780001342297
1000,utilitarian_matching,2,95.57083538038357,72.51612903225806,64.35406698564593,5.382369518364024,0,0.0,194,194,194,0.23989899992011487
1000,utilitarian_matching,3,97.0201104391011,72.51612903225806,64.35406698564593,3.6288602470844915,0,0.0,188,191,191,0.21457010018639266
1000,utilitarian_matching,4,95.56151856212621,72.51612903225806,64.35406698564593,6.251774990253087,0,0.0,196,197,197,0.2627269998192787
1000,utilitarian_matching,5,95.98780023627017,64.77419354838709,66.26794258373205,4.861285771793694,0,0.0,195,195,195,0.23438200005330145
1000,utilitarian_matching,6,96.55542433545325,72.51612903225806,64.35406698564593,4.734740742691885,0,0.0,197,197,197,0.23523030010983348
1000,utilitarian_matching,7,96.35159173661532,64.77419354838709,64.35406698564593,5.500846668649351,0,0.0,195,195,195,0.21613409998826683
1000,utilitarian_matching,8,96.27180726180148,64.77419354838709,66.26794258373205,5.237916757441034,0,0.0,190,193,193,0.27579960017465055
1000,utilitarian_matching,9,95.28111475865153,72.51612903225806,66.26794258373205,3.9007416258283256,0,0.0,194,194,194,0.22637830022722483
1000,iterated_maximum_matching_unadjusted,0,93.69713219642261,66.60000000000001,64.83253588516746,3.9322727252355967,4,0.6256410256410256,195,195,195,0.2988552001770586
1000,iterated_maximum_matching_unadjusted,1,93.76372640497907,50.0,64.83253588516746,4.580196432423383,4,0.601010101010101,198,198,198,0.2553538999054581
1000,iterated_maximum_matching_unadjusted,2,92.86367067257997,50.0,64.83253588516746,4.198116427187166,4,0.7422680412371134,194,194,194,0.28270919993519783
1000,iterated_maximum_matching_unadjusted,3,94.57339354559659,66.60000000000001,64.83253588516746,1.2746755038951474,4,0.47643979057591623,191,191,191,0.27401930000633
1000,iterated_maximum_matching_unadjusted,4,92.84580285582588,50.0,64.83253588516746,4.890182828688659,4,0.5279187817258884,197,197,197,0.2634133999235928
1000,iterated_maximum_matching_unadjusted,5,93.2141132236637,66.60000000000001,64.83253588516746,4.451385465347497,4,0.36923076923076925,195,195,195,0.49955819989554584
1000,iterated_maximum_matching_unadjusted,6,94.27600559418654,66.60000000000001,66.26794258373205,4.069569862130419,4,0.5076142131979695,197,197,197,0.3250694000162184
1000,iterated_maximum_matching_unadjusted,7,93.91514239736065,50.0,64.83253588516746,3.412495876066522,4,0.4256410256410256,195,195,195,0.33544749999418855
1000,iterated_maximum_matching_unadjusted,8,93.87721422478549,66.60000000000001,64.83253588516746,2.67739222404941,4,0.48704663212435234,193,193,193,0.2738528000190854
1000,iterated_maximum_matching_unadjusted,9,93.60698940889387,66.60000000000001,64.83253588516746,2.3399161392338064,4,0.5773195876288659,194,194,194,0.2966006000060588
1000,iterated_maximum_matching_adjusted,0,93.69713219642261,66.60000000000001,64.83253588516746,3.9322727252355967,4,0.6256410256410256,195,195,195,0.2724323000293225
1000,iterated_maximum_matching_adjusted,1,93.76372640497907,50.0,64.83253588516746,4.580196432423383,4,0.601010101010101,198,198,198,0.2656525999773294
1000,iterated_maximum_matching_adjusted,2,92.86367067257997,50.0,64.83253588516746,4.198116427187166,4,0.7422680412371134,194,194,194,0.2973728000652045
1000,iterated_maximum_matching_adjusted,3,94.57339354559659,66.60000000000001,64.83253588516746,1.2746755038951474,4,0.47643979057591623,191,191,191,0.2864375999197364
1000,iterated_maximum_matching_adjusted,4,92.84580285582588,50.0,64.83253588516746,4.890182828688659,4,0.5279187817258884,197,197,197,0.3224631999619305
1000,iterated_maximum_matching_adjusted,5,93.2141132236637,66.60000000000001,64.83253588516746,4.451385465347497,4,0.36923076923076925,195,195,195,0.2759516998194158
1000,iterated_maximum_matching_adjusted,6,94.27600559418654,66.60000000000001,66.26794258373205,4.069569862130419,4,0.5076142131979695,197,197,197,0.32438500015996397
1000,iterated_maximum_matching_adjusted,7,93.91514239736065,50.0,64.83253588516746,3.412495876066522,4,0.4256410256410256,195,195,195,0.27517090016044676
1000,iterated_maximum_matching_adjusted,8,93.87721422478549,66.60000000000001,64.83253588516746,2.67739222404941,4,0.48704663212435234,193,193,193,0.28222709987312555
1000,iterated_maximum_matching_adjusted,9,93.60698940889387,66.60000000000001,64.83253588516746,2.3399161392338064,4,0.5773195876288659,194,194,194,0.3151155998930335
1000,serial_dictatorship,0,90.79438524689583,25.55066079295154,71.2,8.458016761697738,5,0.6820512820512821,190,194,195,0.07013739994727075
1000,serial_dictatorship,1,91.29356528376118,13.215859030837004,84.21052631578947,8.438040317058245,4,0.6363636363636364,183,196,198,0.06358839990571141
1000,serial_dictatorship,2,91.01086072363475,32.300000000000004,84.21052631578947,7.770090729164013,4,0.7731958762886598,182,191,194,0.06820870004594326
1000,serial_dictatorship,3,92.81823421995996,25.55066079295154,64.83253588516746,4.743380049326474,4,0.49214659685863876,188,190,191,0.07614569994620979
1000,serial_dictatorship,4,90.84127920388173,25.55066079295154,84.21052631578947,8.44394255666876,5,0.5583756345177665,187,194,197,0.09386459994129837
1000,serial_dictatorship,5,88.79876847901802,25.55066079295154,71.2,9.576418403149928,4,0.4205128205128205,180,194,195,0.08083599992096424
