max_total_agent_capacity,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1115,iterated_maximum_matching_unadjusted,9,no_solver,91.0098968,50,64.83253589,3.94630451,4,0.646511628,215,215,215,0.7612588
1115,iterated_maximum_matching_adjusted,0,no_solver,91.35433971,50,66.26794258,3.992780876,4,0.678899083,218,218,218,0.6450151
1115,iterated_maximum_matching_adjusted,1,no_solver,91.00305817,50,64.83253589,5.598415428,4,0.659090909,220,220,220,0.6317573
1115,iterated_maximum_matching_adjusted,2,no_solver,91.2760424,50,64.83253589,3.872330613,4,0.869158879,214,214,214,0.6270288
1115,iterated_maximum_matching_adjusted,3,no_solver,92.4069664,50,64.83253589,3.089976783,4,0.506976744,215,215,215,0.7031544
1115,iterated_maximum_matching_adjusted,4,no_solver,90.71056221,50,66.26794258,6.095184696,4,0.572072072,222,222,222,0.7908555
1115,iterated_maximum_matching_adjusted,5,no_solver,90.8265301,50,64.83253589,6.109135358,4,0.442396313,217,217,217,0.8752447
1115,iterated_maximum_matching_adjusted,6,no_solver,92.38899834,50,66.26794258,3.939681136,4,0.607305936,219,219,219,0.8598262
1115,iterated_maximum_matching_adjusted,7,no_solver,91.24543833,50,64.83253589,5.107311815,4,0.444954128,218,218,218,0.8779882
1115,iterated_maximum_matching_adjusted,8,no_solver,91.40357617,50,64.83253589,5.012052702,4,0.502347418,213,213,213,0.9831288
1115,iterated_maximum_matching_adjusted,9,no_solver,91.0098968,50,64.83253589,3.94630451,4,0.646511628,215,215,215,0.7571275
1115,TTC_function,0,no_solver,92.11091357,66.6,64.83253589,3.733940038,4,0.637614679,218,218,218,0.1363021
1115,TTC_function,1,no_solver,91.56165383,50,64.83253589,4.383123182,4,0.627272727,220,220,220,0.1807913
1115,TTC_function,2,no_solver,91.47421623,50,64.83253589,5.169557399,4,0.831775701,214,214,214,0.2209554
1115,TTC_function,3,no_solver,92.89598131,66.6,64.83253589,2.306992447,4,0.497674419,215,215,215,0.1556843
1115,TTC_function,4,no_solver,91.25115926,50,64.83253589,5.362868545,4,0.513513514,222,222,222,0.187272
1115,TTC_function,5,no_solver,91.4982201,50,64.83253589,3.162335704,4,0.396313364,217,217,217,0.2310679
1115,TTC_function,6,no_solver,92.80057142,66.6,64.83253589,3.600519311,4,0.557077626,219,219,219,0.2317005
1115,TTC_function,7,no_solver,91.79402734,50,64.83253589,4.014917704,4,0.458715596,218,218,218,0.2170578
1115,TTC_function,8,no_solver,91.90863281,50,64.83253589,4.229303558,4,0.478873239,213,213,213,0.2395593
1115,TTC_function,9,no_solver,91.28949907,50,64.83253589,4.020438877,4,0.586046512,215,215,215,0.2597344
1115,SP_function,0,no_solver,92.14337796,66.6,66.26794258,3.246429773,4,0.665137615,218,218,218,0.3177446
1115,SP_function,1,no_solver,91.49352735,50,66.26794258,4.824270198,4,0.659090909,220,220,220,0.2766537
1115,SP_function,2,no_solver,91.54833129,50,66.26794258,4.948231544,4,0.855140187,214,214,214,0.2364935
1115,SP_function,3,no_solver,92.39437163,66.6,64.83253589,2.604539354,4,0.502325581,215,215,215,0.2824285
1115,SP_function,4,no_solver,91.21072272,50,66.26794258,5.651737842,4,0.558558559,222,222,222,0.3804533
1115,SP_function,5,no_solver,91.16762076,50,66.26794258,3.300158278,4,0.433179724,217,217,217,0.6222763
1115,SP_function,6,no_solver,92.72127125,66.6,66.26794258,3.483678662,4,0.598173516,219,219,219,0.602253
1115,SP_function,7,no_solver,91.70470262,50,66.26794258,4.104242427,4,0.47706422,218,218,218,0.4586449
1115,SP_function,8,no_solver,91.43344059,50,64.83253589,3.588316285,4,0.502347418,213,213,213,0.5717442
1115,SP_function,9,no_solver,91.06856996,50,66.26794258,3.426481617,4,0.604651163,215,215,215,0.6286155
1500,iterated_maximum_matching_unadjusted,0,no_solver,83.25106055,50,40,3.530702188,5,0.795221843,293,293,293,1.8794125
1500,iterated_maximum_matching_unadjusted,1,no_solver,83.23183573,50,29.39597315,2.126374738,4,0.794612795,295,297,297,1.8419487
1500,iterated_maximum_matching_unadjusted,2,no_solver,83.21254751,33.4,29.39597315,3.253875152,4,0.897260274,292,292,292,1.5532022
1500,iterated_maximum_matching_unadjusted,3,no_solver,83.33695429,50,40,3.207387772,5,0.648083624,287,287,287,1.3696738
1500,iterated_maximum_matching_unadjusted,4,no_solver,82.99485712,33.4,18.42105263,3.769061765,4,0.725423729,295,295,295,1.0824453
1500,iterated_maximum_matching_unadjusted,5,no_solver,82.6334736,50,29.39597315,3.321879391,4,0.675767918,293,293,293,1.0250653
1500,iterated_maximum_matching_unadjusted,6,no_solver,84.25620624,50,31.41962422,2.224023966,4,0.757679181,293,293,293,0.9180613
1500,iterated_maximum_matching_unadjusted,7,no_solver,81.39385918,50,28.28810021,3.597542933,4,0.722033898,295,295,295,1.1844999
1500,iterated_maximum_matching_unadjusted,8,no_solver,80.899394,50,49.8,5.467354645,5,0.795138889,288,288,288,1.0262825
1500,iterated_maximum_matching_unadjusted,9,no_solver,82.42211333,50,40,3.094967725,5,0.925531915,282,282,282,1.0441884
1500,iterated_maximum_matching_adjusted,0,no_solver,83.25106055,50,40,3.530702188,5,0.795221843,293,293,293,1.117968
1500,iterated_maximum_matching_adjusted,1,no_solver,83.23183573,50,29.39597315,2.126374738,4,0.794612795,295,297,297,1.14837
1500,iterated_maximum_matching_adjusted,2,no_solver,83.21254751,33.4,29.39597315,3.253875152,4,0.897260274,292,292,292,1.234388
1500,iterated_maximum_matching_adjusted,3,no_solver,83.33695429,50,40,3.207387772,5,0.648083624,287,287,287,1.1390328
1500,iterated_maximum_matching_adjusted,4,no_solver,82.99485712,33.4,18.42105263,3.769061765,4,0.725423729,295,295,295,1.1977223
1500,iterated_maximum_matching_adjusted,5,no_solver,82.6334736,50,29.39597315,3.321879391,4,0.675767918,293,293,293,1.0613852
1500,iterated_maximum_matching_adjusted,6,no_solver,84.25620624,50,31.41962422,2.224023966,4,0.757679181,293,293,293,1.184028
1500,iterated_maximum_matching_adjusted,7,no_solver,81.39385918,50,28.28810021,3.597542933,4,0.722033898,295,295,295,1.3402679
1500,iterated_maximum_matching_adjusted,8,no_solver,80.899394,50,49.8,5.467354645,5,0.795138889,288,288,288,1.3691732
1500,iterated_maximum_matching_adjusted,9,no_solver,82.42211333,50,40,3.094967725,5,0.925531915,282,282,282,1.1535497
1500,TTC_function,0,no_solver,83.52702264,50,40,4.786198153,5,0.873720137,293,293,293,0.2492728
1500,TTC_function,1,no_solver,83.47683667,33.4,32.67223382,3.094774182,4,0.895622896,295,297,297,0.3390737
1500,TTC_function,2,no_solver,83.79036167,33.4,29.39597315,4.245161819,4,0.941780822,292,292,292,0.3912691
1500,TTC_function,3,no_solver,83.56868033,50,40,4.437674849,5,0.68641115,287,287,287,0.3065316
1500,TTC_function,4,no_solver,83.82870408,33.4,20,4.030060371,4,0.827118644,295,295,295,0.3753001
1500,TTC_function,5,no_solver,82.97219843,33.4,29.39597315,3.208932607,4,0.706484642,293,293,293,0.3412211
1500,TTC_function,6,no_solver,84.55579966,33.4,28.28810021,2.617325823,4,0.815699659,293,293,293,0.3454867
1500,TTC_function,7,no_solver,82.32032128,33.4,28.28810021,3.704398817,4,0.813559322,295,295,295,0.399334
1500,TTC_function,8,no_solver,81.33306225,50,49.8,5.813904966,5,0.857638889,288,288,288,0.3429206
1500,TTC_function,9,no_solver,82.17199165,50,40,2.539438395,5,1.014184397,282,282,282,0.3816967
1500,SP_function,0,no_solver,81.89319009,50,49.8,6.283365624,5,0.901023891,293,293,293,0.3456472
1500,SP_function,1,no_solver,81.48129092,50,29.39597315,4.649332953,4,0.888888889,295,297,297,0.3426014
1500,SP_function,2,no_solver,83.28289258,50,29.39597315,3.884116745,4,0.931506849,292,292,292,0.3377874
1500,SP_function,3,no_solver,83.31024856,50,49.8,3.876195066,5,0.68989547,287,287,287,0.4188577
1500,SP_function,4,no_solver,82.62100749,50,27.1,4.64561196,4,0.823728814,295,295,295,0.3263267
1500,SP_function,5,no_solver,81.85839793,50,29.39597315,3.829973922,4,0.744027304,293,293,293,0.2848251
1500,SP_function,6,no_solver,83.47929261,50,28.28810021,5.098375596,4,0.849829352,293,293,293,0.3702626
1500,SP_function,7,no_solver,81.10061489,50,28.28810021,5.038129862,4,0.796610169,295,295,295,0.39138
1500,SP_function,8,no_solver,80.7638817,50,49.8,6.011186096,5,0.836805556,288,288,288,0.2575403
1500,SP_function,9,no_solver,81.61282967,50,49.8,4.388206916,5,1,282,282,282,0.3436584
2000,iterated_maximum_matching_unadjusted,0,no_solver,70.07625724,33.4,40,6.270832506,5,1.60880829,371,386,386,1.5455909
2000,iterated_maximum_matching_unadjusted,1,no_solver,69.93059026,32.5,49.8,5.757964573,5,1.573232323,379,396,396,1.6599079
2000,iterated_maximum_matching_unadjusted,2,no_solver,71.39659402,33.4,49.8,10.46444292,5,1.621761658,386,386,386,1.5700064
2000,iterated_maximum_matching_unadjusted,3,no_solver,71.28350533,33.4,40,8.037396769,5,1.626943005,368,386,386,2.6188488
2000,iterated_maximum_matching_unadjusted,4,no_solver,70.81477051,33.4,49.8,8.450612051,5,1.565989848,394,394,394,1.8039394
2000,iterated_maximum_matching_unadjusted,5,no_solver,70.05227928,33.4,40,4.985396323,5,1.606683805,380,389,389,1.6996483
