input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,egalitarian_algorithm,0.0625,1.0,0.0349294790066778
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,utilitarian_algorithm,0.0,1.0,0.0024111740058287
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,iterated_maximum_matching,0.0,1.0,0.0023068099981173
input_ranges_algorithm_1,True,True,True,1,16,1,0,31,per_category_round_robin,0.0,1.0,0.4085619669931475
input_ranges_algorithm_1,True,True,True,1,16,1,0,31,per_category_round_robin_optimized,0.0,1.0,0.4281964870169759
input_ranges_algorithm_1,True,True,True,1,16,1,0,31,egalitarian_algorithm,0.032258064516129,0.9999999999999992,0.0756161840108688
input_ranges_algorithm_1,True,True,True,1,16,1,0,31,utilitarian_algorithm,0.0,1.0,0.0032731660176068
input_ranges_algorithm_1,True,True,True,1,16,1,0,31,iterated_maximum_matching,0.0,1.0,0.002929543989012
input_ranges_algorithm_1,True,True,True,1,16,1,0,46,per_category_round_robin,0.0,1.0,0.9102690080180764
input_ranges_algorithm_1,True,True,True,1,16,1,0,46,per_category_round_robin_optimized,0.0,1.0,0.8257776309910696
input_ranges_algorithm_1,True,True,True,1,16,1,0,46,egalitarian_algorithm,0.0217391304347826,0.9999999999999994,0.1172729469835758
input_ranges_algorithm_1,True,True,True,1,16,1,0,46,utilitarian_algorithm,0.0,1.0,0.0047957700153347
input_ranges_algorithm_1,True,True,True,1,16,1,0,46,iterated_maximum_matching,0.0,1.0,0.005116429994814
input_ranges_algorithm_1,True,True,True,1,16,1,0,61,per_category_round_robin,0.0,1.0,1.5043607509869616
input_ranges_algorithm_1,True,True,True,1,16,1,0,61,per_category_round_robin_optimized,0.0,1.0,1.5590137419931125
input_ranges_algorithm_1,True,True,True,1,16,1,0,61,egalitarian_algorithm,0.0163934426229508,1.0000000000000009,0.1048040649911854
input_ranges_algorithm_1,True,True,True,1,16,1,0,61,utilitarian_algorithm,0.0,1.0,0.0058600190095603
input_ranges_algorithm_1,True,True,True,1,16,1,0,61,iterated_maximum_matching,0.0,1.0,0.005813271010993
input_ranges_algorithm_1,True,True,True,1,16,1,0,76,per_category_round_robin,0.0,1.0,2.553684763988713
input_ranges_algorithm_1,True,True,True,1,16,1,0,76,per_category_round_robin_optimized,0.0,1.0,2.3809870830154978
