num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,0.5,iterated_maximum_matching_adjusted,2,,92.55965083,76.79856115,5.575539568,0.23692784,0,0.0,100,100,100,0.5412066
100,25,0.5,iterated_maximum_matching_adjusted,3,,96.80211173,88.49902534,4.651162791,0.144263205,0,0.0,100,100,100,0.799174
100,25,0.5,iterated_maximum_matching_adjusted,4,,90.76492495,77.28937729,15.38461538,0.849348298,0,0.0,100,100,100,0.5981611
100,25,0.5,TTC_function,0,,95.79469213,83.77192982,6.8,0.464878001,0,0.0,100,100,100,0.0518357
100,25,0.5,TTC_function,1,,98.14368593,90.80188679,1.886792453,0.061367446,0,0.0,100,100,100,0.0439738
100,25,0.5,TTC_function,2,,92.48703841,76.79856115,9.395973154,0.567308146,0,0.0,100,100,100,0.0531111
100,25,0.5,TTC_function,3,,96.6878672,87.52642706,5.139186296,0.230300919,0,0.0,100,100,100,0.056227
100,25,0.5,TTC_function,4,,90.54755683,77.28937729,15.38461538,1.046510582,0,0.0,100,100,100,0.0574936
100,25,0.5,SP_function,0,,95.5620523,86.84210526,2.850877193,0.096373064,0,0.0,100,100,100,0.0530435
100,25,0.5,SP_function,1,,98.09366631,91.03773585,2.364066194,0.074121362,0,0.0,100,100,100,0.0574774
100,25,0.5,SP_function,2,,92.01848852,78.05755396,9.395973154,0.511122682,0,0.0,100,100,100,0.1261849
100,25,0.5,SP_function,3,,96.5738763,89.2,3.426124197,0.149822628,0,0.0,100,100,100,0.161124
100,25,0.5,SP_function,4,,89.92612767,74.13509061,8.423326134,0.825422291,0,0.0,100,100,100,0.1749377
100,25,0.8,iterated_maximum_matching_unadjusted,0,,96.98394728,88.24662813,4.780114723,0.152122138,0,0.0,100,100,100,1.6689019
100,25,0.8,iterated_maximum_matching_unadjusted,1,,98.82999518,94.37229437,0.232018561,0.002320186,0,0.0,100,100,100,1.6075148
100,25,0.8,iterated_maximum_matching_unadjusted,2,,94.20401808,81.57453936,7.261410788,0.265604841,0,0.0,100,100,100,1.6142153
100,25,0.8,iterated_maximum_matching_unadjusted,3,,97.63804897,91.05839416,3.308823529,0.097649348,0,0.0,100,100,100,1.762081
100,25,0.8,iterated_maximum_matching_unadjusted,4,,92.88627103,78.49462366,14.81481481,0.65028782,0,0.0,100,100,100,1.2365769
100,25,0.8,iterated_maximum_matching_adjusted,0,,96.98394728,88.24662813,4.780114723,0.152122138,0,0.0,100,100,100,1.4253195
100,25,0.8,iterated_maximum_matching_adjusted,1,,98.82999518,94.37229437,0.232018561,0.002320186,0,0.0,100,100,100,1.8290462
100,25,0.8,iterated_maximum_matching_adjusted,2,,94.20401808,81.57453936,7.261410788,0.265604841,0,0.0,100,100,100,1.5071647
100,25,0.8,iterated_maximum_matching_adjusted,3,,97.63804897,91.05839416,3.308823529,0.097649348,0,0.0,100,100,100,1.7166204
100,25,0.8,iterated_maximum_matching_adjusted,4,,92.88627103,78.49462366,14.81481481,0.65028782,0,0.0,100,100,100,1.5263674
100,25,0.8,TTC_function,0,,96.88017097,87.27984344,6.91588785,0.239920663,0,0.0,100,100,100,0.1332116
100,25,0.8,TTC_function,1,,98.78685759,94.5368171,0.0,0.0,0,0.0,100,100,100,0.1231811
100,25,0.8,TTC_function,2,,94.28120105,76.38190955,7.385229541,0.283823285,0,0.0,100,100,100,0.1256092
100,25,0.8,TTC_function,3,,97.44478001,89.71428571,3.308823529,0.094254857,0,0.0,100,100,100,0.1140858
100,25,0.8,TTC_function,4,,92.69251927,78.49462366,18.8712522,0.581045912,0,0.0,100,100,100,0.161099
100,25,0.8,SP_function,0,,96.69627358,88.24662813,1.265822785,0.020710499,0,0.0,100,100,100,0.1585829
100,25,0.8,SP_function,1,,98.68188109,91.52173913,0.434782609,0.004347826,0,0.0,100,100,100,0.1649688
100,25,0.8,SP_function,2,,93.97863727,76.38190955,7.261410788,0.39592217,0,0.0,100,100,100,0.1755898
100,25,0.8,SP_function,3,,97.26142417,89.88764045,3.597122302,0.126537054,0,0.0,100,100,100,0.19124
100,25,0.8,SP_function,4,,92.14987951,74.02190923,6.732348112,0.374445069,0,0.0,100,100,100,0.1474713
100,25,1.0,iterated_maximum_matching_unadjusted,0,,97.6137504,90.44862518,1.607142857,0.044540808,0,0.0,100,100,100,1.6528097
100,25,1.0,iterated_maximum_matching_unadjusted,1,,99.09779034,94.88752556,0.0,0.0,0,0.0,100,100,100,1.6898526
