num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
2,3,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.006858174998342292
2,5,0,high_multiplicity_fair_allocation,0,354.97304582210245,304.2857142857143,0.49246498299908126
2,5,0,high_multiplicity_fair_allocation,1,229.5,225.0,0.09529826099969796
2,5,0,solve,0,352.9380053908356,322.8571428571429,0.005625685000268277
2,5,0,solve,1,229.5,229.0,0.008867997999914223
2,5,0,improved_high_multiplicity_fair_allocation,0,354.97304582210245,304.2857142857143,0.49925604999953066
2,5,0,improved_high_multiplicity_fair_allocation,1,229.5,225.0,0.13018019899755018
2,5,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007126504999177996
2,5,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.007704469000600511
2,5,0.2,high_multiplicity_fair_allocation,0,372.5891861761427,297.1014492753623,0.09150468099687714
2,5,0.2,high_multiplicity_fair_allocation,1,237.5,222.00000000000003,0.09418244299740763
2,5,0.2,solve,0,363.79598662207354,339.1304347826087,0.0070275409998430405
2,5,0.2,solve,1,236.5,225.99999999999997,0.008243784002843313
2,5,0.2,improved_high_multiplicity_fair_allocation,0,372.5891861761427,297.1014492753623,0.09523962800085428
2,5,0.2,improved_high_multiplicity_fair_allocation,1,237.5,222.00000000000003,0.0954264689971751
2,5,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.008206569000321906
2,5,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.008012448997760657
2,5,0.5,high_multiplicity_fair_allocation,0,376.6203703703703,279.16666666666663,0.25247733400101424
2,5,0.5,high_multiplicity_fair_allocation,1,245.0,234,0.01519360800011782
2,5,0.5,solve,0,376.6203703703703,279.16666666666663,0.008206219001294812
2,5,0.5,solve,1,245.0,234,0.00594748700314085
2,5,0.5,improved_high_multiplicity_fair_allocation,0,376.6203703703703,279.16666666666663,0.2152671059993736
2,5,0.5,improved_high_multiplicity_fair_allocation,1,245.0,234,0.016744568001740845
2,5,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.008624415997473989
2,5,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.008633214001747547
2,5,0.8,high_multiplicity_fair_allocation,0,381.0952380952381,269.3333333333333,0.0945394070004113
2,5,0.8,high_multiplicity_fair_allocation,1,252.2970297029703,240.59405940594058,0.01623976300106733
2,5,0.8,solve,0,381.0952380952381,269.3333333333333,0.009081120002520038
2,5,0.8,solve,1,252.2970297029703,240.59405940594058,0.006111670001700986
2,5,0.8,improved_high_multiplicity_fair_allocation,0,381.0952380952381,269.3333333333333,0.14164567400075612
2,5,0.8,improved_high_multiplicity_fair_allocation,1,252.2970297029703,240.59405940594058,0.014746273001946975
2,5,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007105050000973279
2,5,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.007182284000009531
2,5,1,high_multiplicity_fair_allocation,0,373.502722323049,276.3157894736842,0.3482025869998324
2,5,1,high_multiplicity_fair_allocation,1,255.5,243.00000000000003,0.014017297999089351
2,5,1,solve,0,351.7241379310345,350.0,0.006725100000039674
2,5,1,solve,1,255.5,248,0.005901134998566704
2,5,1,improved_high_multiplicity_fair_allocation,0,373.502722323049,276.3157894736842,0.39759461900030146
2,5,1,improved_high_multiplicity_fair_allocation,1,255.5,243.00000000000003,0.05129424900223967
2,5,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007769310999719892
2,5,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.007618605002789991
2,6,0,high_multiplicity_fair_allocation,0,399.0086344739367,350.8474576271186,0.10391585300021688
2,6,0,high_multiplicity_fair_allocation,1,0.0,0,0.7015108740015421
2,6,0,solve,0,402.38247521586186,374.57627118644064,0.011376774000382284
2,6,0,solve,1,267.24904309173974,264.83516483516485,0.010478868000063812
2,6,0,improved_high_multiplicity_fair_allocation,0,399.0086344739367,350.8474576271186,0.10689391699997941
2,6,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.716066247998242
2,6,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.008874036000634078
2,6,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.008483436002279632
2,6,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.44700724900030764
2,6,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.15852480299872695
2,6,0.2,solve,0,410.480943738657,405.1724137931035,0.012096626000129618
2,6,0.2,solve,1,275.0,248.88888888888889,0.017534328002511756
2,6,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.460019239999383
2,6,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.1883795169997029
2,6,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.009011382000608137
2,6,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.009293496997997863
2,6,0.5,high_multiplicity_fair_allocation,0,391.9354838709678,329.03225806451616,0.01738967799974489
2,6,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.555227939003089
2,6,0.5,solve,0,408.8709677419355,401.6129032258065,0.008456939998723101
2,6,0.5,solve,1,278.82850241545896,255.43478260869566,0.016876755998964654
2,6,0.5,improved_high_multiplicity_fair_allocation,0,391.9354838709678,329.03225806451616,0.0170431139995344
2,6,0.5,improved_high_multiplicity_fair_allocation,1,0.0,0,0.5954273190000094
2,6,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0088520220015198
2,6,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.008547039000404766
2,6,0.8,high_multiplicity_fair_allocation,0,386.78199909543196,328.7878787878788,2.234940922997339
2,6,0.8,high_multiplicity_fair_allocation,1,0.0,0,1.5409356810014287
2,6,0.8,solve,0,404.3306196291271,328.3582089552239,0.0030431689992838074
2,6,0.8,solve,1,284.8566308243728,275.2688172043011,0.007287857002665987
2,6,0.8,improved_high_multiplicity_fair_allocation,0,386.78199909543196,328.7878787878788,2.3345061569998506
2,6,0.8,improved_high_multiplicity_fair_allocation,1,0.0,0,1.5609762599997339
2,6,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.008912240002246108
2,6,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.008724272000108613
2,6,1,high_multiplicity_fair_allocation,0,373.57142857142856,302.85714285714283,0.8455660799991165
2,6,1,high_multiplicity_fair_allocation,1,0.0,0,0.438840696002444
2,6,1,solve,0,402.14285714285717,381.42857142857144,0.008437729000434047
2,6,1,solve,1,285.89605734767025,258.8888888888889,0.008690842998476
2,6,1,improved_high_multiplicity_fair_allocation,0,373.57142857142856,302.85714285714283,0.8719513139985793
2,6,1,improved_high_multiplicity_fair_allocation,1,0.0,0,0.4491111520001141
2,6,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.04213645299751079
2,6,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.00919216799957212
3,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.009348389001388568
3,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.007926092999696266
3,2,0,solve,0,0.0,0,0.008613469999545487
3,2,0,solve,1,0.0,0,0.00318193400016753
3,2,0,improved_high_multiplicity_fair_allocation,0,0.0,0,0.008841539998684311
3,2,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.008983615000033751
3,2,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.008935590001783567
3,2,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.009702071001811419
3,2,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.008585364997998113
3,2,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.033493426999484655
3,2,0.2,solve,0,0.0,0,0.015225030998408329
3,2,0.2,solve,1,0.0,0,0.004785591998370364
3,2,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.008815205001155846
