equal_capacities,category_count,item_capacity_bounds,random_seed_num,binary_valuations,num_of_agents,algorithm,allocation,runtime
True,1,1,0,True,1,per_category_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.00043272699986118823
True,1,1,0,True,1,capped_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.00035735499841393903
True,1,1,0,True,1,per_category_capped_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0005118970002513379
True,1,1,0,True,1,iterated_priority_matching,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0021095150004839525
True,1,1,0,True,2,per_category_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.00044244500168133527
True,1,1,0,True,2,capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.00033335999978589825
True,1,1,0,True,2,per_category_capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.00047760200322954915
True,1,1,0,True,2,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m1'}}",0.000647943998046685
True,1,1,0,True,3,per_category_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.0005158150015631691
True,1,1,0,True,3,capped_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.00037681199682992883
True,1,1,0,True,3,per_category_capped_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.0004886129972874187
True,1,1,0,True,3,iterated_priority_matching,"{'Agent1': {'m5'}, 'Agent2': {'m1'}, 'Agent3': {'m2'}}",0.0008024859998840839
True,1,1,0,True,4,per_category_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.0005783020023955032
True,1,1,0,True,4,capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.00040333200013265014
True,1,1,0,True,4,per_category_capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.0005653480002365541
True,1,1,0,True,4,iterated_priority_matching,"{'Agent1': {'m2'}, 'Agent2': {'m6'}, 'Agent3': {'m5'}, 'Agent4': {'m1'}}",0.0008616679988335818
True,1,1,0,True,5,per_category_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m2'}, 'Agent3': {'m1'}, 'Agent4': {'m4', 'm3'}, 'Agent5': {'m6'}}",0.0006946319990674965
