equal_capacities,category_count,item_capacity_bounds,random_seed_num,binary_valuations,num_of_agents,algorithm,allocation,runtime
True,1,1,0,True,9,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m1'}, 'Agent3': {'m5'}, 'Agent4': {'m2'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m6'}, 'Agent9': {'m3'}}",0.0010900900015258
True,1,1,0,True,9,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m1'}, 'Agent3': {'m5'}, 'Agent4': {'m2'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m6'}, 'Agent9': {'m3'}}",0.0007092699997883
True,1,1,0,True,9,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m1'}, 'Agent3': {'m5'}, 'Agent4': {'m2'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m6'}, 'Agent9': {'m3'}}",0.0010663040011422
True,1,1,0,True,9,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m1'}, 'Agent3': {'m3'}, 'Agent4': {'m5'}, 'Agent5': {'m4'}, 'Agent6': {'m2'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set()}",0.0030195840008673
True,1,1,0,True,10,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m5'}, 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': set(), 'Agent9': {'m4'}, 'Agent10': {'m6'}}",0.0012092849974578
True,1,1,0,True,10,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m5'}, 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': set(), 'Agent9': {'m4'}, 'Agent10': {'m6'}}",0.000601004998316
True,1,1,0,True,10,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m3'}, 'Agent4': {'m5'}, 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': {'m2'}, 'Agent8': set(), 'Agent9': {'m4'}, 'Agent10': {'m6'}}",0.0012224689999129
True,1,1,0,True,10,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m5'}, 'Agent3': {'m1'}, 'Agent4': {'m3'}, 'Agent5': set(), 'Agent6': {'m4'}, 'Agent7': {'m2'}, 'Agent8': set(), 'Agent9': set(), 'Agent10': set()}",0.0028052800007571
True,1,1,0,True,11,per_category_round_robin,"{'Agent1': {'m6'}, 'Agent2': {'m2'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}}",0.0013494790000549
True,1,1,0,True,11,capped_round_robin,"{'Agent1': {'m6'}, 'Agent2': {'m2'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}}",0.0006274549996305
True,1,1,0,True,11,per_category_capped_round_robin,"{'Agent1': {'m6'}, 'Agent2': {'m2'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}}",0.0013949260028311
True,1,1,0,True,11,iterated_priority_matching,"{'Agent1': {'m4'}, 'Agent2': {'m2'}, 'Agent3': {'m6'}, 'Agent4': {'m3'}, 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m5'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set()}",0.0146257410015095
True,1,1,0,True,12,per_category_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': {'m2'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m4'}}",0.0015477840024686
True,1,1,0,True,12,capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': {'m2'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m4'}}",0.0006940310013305
True,1,1,0,True,12,per_category_capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': {'m2'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m4'}}",0.0014976300008129
True,1,1,0,True,12,iterated_priority_matching,"{'Agent1': {'m4'}, 'Agent2': {'m5'}, 'Agent3': {'m2'}, 'Agent4': {'m6'}, 'Agent5': {'m1'}, 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': set()}",0.015794888997334
True,1,1,0,True,13,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': {'m6'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m2'}, 'Agent11': set(), 'Agent12': {'m1'}, 'Agent13': set()}",0.0018233949995192
True,1,1,0,True,13,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': {'m6'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m2'}, 'Agent11': set(), 'Agent12': {'m1'}, 'Agent13': set()}",0.0012107340007787
